team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Club Alianza Lima,Alianza Lima,2026,Peru,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,30,30,42,1,2,-1,3,2,1,1,0,1,1,0,-1,180,90,0,90,90,90,0,0,0,1,1,0,1,0,1,1,1,0,8,5,3,5,3,2,58,59,57,33,22,11,8,6,2,25,16,9,26,17,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1.5,2,1,0.5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,1,100,50,0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,50,100,100,100,100,0,0,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,50,100,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,5.00,3.00,2.5,3,2.00,50,50,0,0,0,0,0,0,1.72,2.36,1.08,1.44,1.74,1.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50,100,0,50,0,100,0
CD Universidad Católica del Ecuador,CD Universidad Católica,2026,Ecuador,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,38,38,37,4,4,0,8,7,1,3,1,4,0,-1,1,45,30,90,45,23,0,1,0,1,1,1,0,0,0,0,2,1,1,5,2,3,7,4,3,55,64,45,18,14,4,10,8,2,8,6,2,22,13,9,1,1,0,2,2,0,-1,-1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,4,7,1,2,3,1,2,4,0,1.5,3,0,0.5,1,0,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,50,50,50,50,50,100,100,100,100,100,100,100,0,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,0,0,100,100,100,100,100,1,1,1,1,1,1,0,0,0,50,50,50,100,100,100,0,0,0,50,0,100,-25,50,0,100,50,100,0,0,0,0,100,100,100,1,0,1,50,0,100,1,0,1,50,0,100,1,1,0,50,100,0,0,0,0,50,0,100,50,100,0,2.50,2.00,3.00,3.5,4,3.00,50,50,50,50,50,50,0,0,1.12,1.67,0.57,1.65,1.35,1.95,100,1,0,0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,50,100,0,0
CA Juventud,Juventud,2026,Uruguay,6,3,3,0,2,0,2,2,2,0,2,1,1,1.33,0.67,2,0,42,42,23,8,8,0,16,3,13,1,7,2,6,-1,1,68,273,39,68,134,45,1,1,0,4,1,3,2,2,0,1,0,1,26,16,10,10,3,7,51,56,46,81,44,37,26,13,13,55,31,24,70,34,36,3,0,3,3,1,2,0,-1,1,1,0,1,4,2,2,1,1,0,1.17,0.67,1.67,2.67,1,4.33,1.33,0.33,2.33,1.33,0.67,2,1,0.33,1.67,0.5,0,1,0.5,0.33,0.67,5,4,3,1,1,1,2,1,0,0,0,0,3,3,3,1,1,1,1,2,3,5,5,5,1,2,3,3,3,3,0,0,0,2,2,2,83,67,50,17,17,17,67,33,0,0,0,0,100,100,100,33,33,33,17,33,50,83,83,83,33,67,100,100,100,100,0,0,0,67,67,67,3,2,1,1,0,0,2,2,1,50,33,17,33,0,0,67,67,33,33,0,67,-13,17,33,0,67,33,100,33,67,0,17,0,33,3,2,1,50,67,33,4,3,1,67,100,33,2,0,2,33,0,67,17,0,33,67,67,67,17,33,0,4.33,5.33,3.33,1.67,1,2.33,50,50,33,33,33,17,0,0,1.49,1.59,1.38,1.30,0.96,1.64,67,0,0,2,0,3,0,0,1,2,1,1,0,1,1,1,1,1,1,33,67,0,33,33,33,0
Club 2 de Mayo,2 de Mayo,2026,Paraguay,4,2,2,0,1,1,0,3,1,2,0,0,0,1.5,2,1,0,46,46,27,4,3,1,7,5,2,3,1,2,1,1,0,90,60,180,120,90,180,2,1,1,2,1,1,1,0,1,1,1,0,12,7,5,10,4,6,41,47,36,53,24,29,8,3,5,45,21,24,43,22,21,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,1,1,1,1.75,2.5,1,1,1.5,0.5,0.75,1,0.5,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,2,3,3,4,4,0,1,1,1,2,2,1,1,2,2,2,2,75,50,25,25,0,0,100,50,50,50,0,0,50,50,0,0,0,0,25,50,75,75,100,100,0,50,50,50,100,100,50,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,9,50,50,50,50,50,50,25,0,50,25,50,0,4,2,2,100,100,100,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.50,2.50,2.5,2,3.00,75,50,0,0,0,0,0,0,1.20,1.09,1.31,1.50,0.95,2.05,50,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,75,50,100,0,0,0,0
EC Bahia,Bahia,2026,Brazil,2,1,1,0,1,1,0,0,0,0,1,0,1,1.5,3,0,0,6,6,35,2,2,0,4,3,1,2,0,1,1,1,-1,90,45,0,90,90,90,0,0,0,1,1,0,1,0,1,1,1,0,10,4,6,10,4,6,68,71,65,21,12,9,4,3,1,17,9,8,17,10,7,2,2,0,1,0,1,1,2,-1,1,1,0,0,0,0,1,0,1,1.5,3,0,2,3,1,1,2,0,1,1,1,1.5,2,1,1,2,0,0.5,0,1,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,0,1,1,1,1,1,100,50,50,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,50,50,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,50,100,0,0,0,0,0,50,100,0,50,0,100,50,100,0,1,1,0,50,100,0,1,0,1,50,0,100,0,0,0,0,0,0,50,100,0,0,0,0,50,0,100,5.00,4.00,6.00,5,4,6.00,50,50,0,0,0,0,0,0,1.14,1.33,0.95,0.88,0.68,1.08,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50,0,100,0
Deportivo Independiente Medellín,Independiente Medellín,2026,Colombia,10,5,5,0,4,2,2,3,2,1,3,1,2,1.5,1.6,1.4,3,16,16,3,11,14,-3,25,9,16,4,7,5,9,-1,-2,82,113,64,64,90,50,2,2,0,6,2,4,3,2,1,5,2,3,42,21,21,21,9,12,46,52,39,108,56,52,35,19,16,73,37,36,134,61,73,4,1,3,4,2,2,0,-1,1,2,0,2,5,3,2,2,1,1,1.22,0.75,1.6,2.5,1.8,3.2,1.1,0.8,1.4,1.4,1,1.8,0.89,0.75,1,0.44,0.25,0.6,0.44,0.5,0.4,9,7,5,2,2,0,4,3,2,0,0,0,5,4,3,2,2,0,1,3,5,8,8,10,1,2,3,5,5,5,0,1,2,3,3,5,90,70,50,20,20,0,80,60,40,0,0,0,100,80,60,40,40,0,10,30,50,80,80,100,20,40,60,100,100,100,0,20,40,60,60,100,5,2,1,2,1,0,3,1,1,56,22,11,50,25,0,60,20,20,40,40,40,1,20,40,0,60,40,80,30,40,20,50,40,60,6,2,4,67,50,80,5,3,2,56,75,40,2,1,1,22,25,20,22,0,40,56,75,40,22,25,20,4.20,4.20,4.20,2.1,1.8,2.40,80,60,40,30,30,20,10,10,1.26,1.51,1.07,1.49,1.15,1.75,70,0,2,0,2,0,1,1,0,5,1,1,1,0,2,0,1,2,3,30,40,20,30,20,40,0
CD O'Higgins,O'Higgins,2026,Chile,4,2,2,0,2,2,0,0,0,0,2,0,2,1.5,3,0,0,18,18,29,3,4,-1,7,2,5,2,1,0,4,2,-3,120,90,180,90,0,45,2,2,0,1,0,1,1,0,1,2,2,0,16,9,7,11,5,6,43,51,35,42,25,17,9,6,3,33,19,14,49,24,25,2,2,0,3,0,3,-1,2,-3,2,2,0,0,0,0,2,0,2,1.5,3,0,1.75,1,2.5,0.75,1,0.5,1,0,2,1.25,1,1.5,0.5,1,0,0.75,0,1.5,4,2,1,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,2,3,4,4,4,0,2,2,2,2,2,0,0,1,2,2,2,100,50,25,0,0,0,100,0,0,0,0,0,100,100,50,0,0,0,0,50,75,100,100,100,0,100,100,100,100,100,0,0,50,100,100,100,4,1,0,2,0,0,2,1,0,100,25,0,100,0,0,100,50,0,50,100,0,67,50,100,0,25,0,50,25,0,50,50,100,0,2,2,0,50,100,0,2,0,2,50,0,100,0,0,0,0,0,0,50,100,0,0,0,0,50,0,100,4.00,4.50,3.50,2.75,2.5,3.00,75,75,50,25,25,0,0,0,1.12,1.37,0.86,1.21,0.96,1.46,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,50,0,100,0
CD Huachipato,Huachipato,2026,Chile,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,20,20,46,1,3,-2,4,3,1,1,0,2,1,-1,-1,180,90,0,60,45,90,0,0,0,1,1,0,1,0,1,0,0,0,13,8,5,7,4,3,58,65,51,34,23,11,12,10,2,22,13,9,18,13,5,0,0,0,3,2,1,-3,-2,-1,0,0,0,0,0,0,2,1,1,0,0,0,2,3,1,0.5,1,0,1.5,2,1,1.5,2,1,0,0,0,1.5,2,1,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,2,0,0,0,1,1,1,0,1,1,1,1,1,100,50,50,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,50,50,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,0,0,0,34,0,0,0,50,100,0,50,0,100,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,6.50,8.00,5.00,3.5,4,3.00,100,100,100,50,50,0,0,0,1.98,2.69,1.27,1.37,1.43,1.31,50,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,100,100,100,0
Carabobo FC,Carabobo,2026,Venezuela,4,2,2,0,3,1,2,0,0,0,1,1,0,2.25,1.5,3,0,33,33,18,5,3,2,8,2,6,1,4,1,2,0,2,72,180,45,120,180,90,1,1,0,2,0,2,1,1,0,3,1,2,20,13,7,11,6,5,44,53,35,55,26,29,16,9,7,39,17,22,47,23,24,5,1,4,1,1,0,4,0,4,3,1,2,0,0,0,1,1,0,2.25,1.5,3,2,1,3,1.25,0.5,2,0.75,0.5,1,1.5,1,2,1.25,0.5,2,0.25,0.5,0,4,2,2,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,2,2,4,4,4,0,2,2,2,2,2,0,0,0,2,2,2,100,50,50,0,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,50,50,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,4,2,0,2,0,0,2,2,0,100,50,0,100,0,0,100,100,0,75,50,100,-14,25,50,0,50,0,100,25,50,0,75,50,100,3,1,2,75,50,100,1,1,0,25,50,0,0,0,0,0,0,0,75,50,100,0,0,0,25,50,0,5.00,6.50,3.50,2.75,3,2.50,100,100,100,75,50,25,0,0,1.48,1.53,1.43,1.71,1.02,2.39,50,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25,50,0,0
Liverpool FC Montevideo,Liverpool FC Montevideo,2026,Uruguay,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,39,39,44,1,2,-1,3,3,0,1,0,2,0,-1,0,180,90,0,90,45,0,1,0,1,1,1,0,1,0,1,0,0,0,8,4,4,5,2,3,56,54,58,23,11,12,7,3,4,16,8,8,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1.5,3,0,0.5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,50,50,50,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,100,100,100,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,4.00,4.00,2.5,2,3.00,100,50,50,0,0,0,0,0,1.22,1.12,1.32,1.50,1.83,1.18,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,50,0,100,50,100,0,0
